HIV : Validation Results
=========================================

err = 1327, warn = 431, info = 2038
$--
Generated $--. FHIR version $-- for smart.who.int.hiv#$-- (canonical = http://smart.who.int/hiv)
 Build Errors : 70 / 16 / 0
 /github/workspace/fsh-generated/resources/ActorDefinition-Client : 0 / 1 / 2
 /github/workspace/fsh-generated/resources/Library-HIVIND56Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND57Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND58Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND59Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND5Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND60Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND61Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND62Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND63Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND64Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND65Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND66Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND67Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND68Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND69Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND6Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND70Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND71Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND72Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND73Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND74Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND75Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND76Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND77Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND78Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND79Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND7Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND80Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND81Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND82Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND83Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND84Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND85Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND86Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND87Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND88Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND89Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND8Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND90Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND91Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND92Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND93Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND94Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND95Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND96Logic : 14 / 50 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND9Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIndicatorCommonLogic : 5 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-WHOCommonLogic : 5 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-WHOConceptsLogic : 5 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-WHOElementsLogic : 5 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-WHOEncounterElementsLogic : 5 / 0 / 11
 /github/workspace/fsh-generated/resources/Measure-HIVIND2 : 1 / 8 / 10
 /github/workspace/fsh-generated/resources/Measure-HIVIND21 : 0 / 10 / 10
 /github/workspace/fsh-generated/resources/Measure-HIVIND28 : 0 / 8 / 10
 /github/workspace/fsh-generated/resources/Measure-HIVIND3 : 0 / 8 / 10
 /github/workspace/fsh-generated/resources/Measure-HIVIND30 : 0 / 8 / 10
 /github/workspace/fsh-generated/resources/Measure-IMMZIND08 : 0 / 1 / 10
 /github/workspace/fsh-generated/resources/Measure-IMMZIND12 : 0 / 1 / 10
 /github/workspace/fsh-generated/resources/Measure-IMMZIND13 : 0 / 1 / 10
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.A2GatherClientDetails : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.A5CreateNewClientRecord : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.A6.1ReviewSociodemographicDataWithClient : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.B18ProvideVoluntaryPartnerAndFamilyServices : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.B1DetermineReasonForVisit : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.B20ScheduleRetest : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.B21OfferPreventionOptions : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.B23OfferSexualAndReproductiveHealthServices : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.B6CaptureOrUpdateClientHistory : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.B7TestForHivUsingTestingAlgorithm : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.B8ProvidePostTestCounselling : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.B9DetermineRecommendedServices : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.C10CounselOnRiskAndPrevention : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.C17DetermineRecommendedTests : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.C1DetermineReasonForVisit : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.C21Diagnostics : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.C23PrescribeOrAdministerPrepOrPep : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.C24ScheduleFollowUp : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.C3CaptureOrUpdateClientHistory : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.C6PostTestPackageOfServices : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.C8SuitableForPrepOrPep : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D10CounselReturningClient : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D12DetermineRecommendedScreeningsAndTests : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D14PreventScreenAndManageComorbiditiesAndCoinfections : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D15DetermineClinicalStageOfHiv : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D16PerformOtherScreenings : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D17CheckForSignsOfTreatmentFailure : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D19AssessForVaccinePreventableDiseases : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D1DetermineReasonForVisit : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D20Diagnostics : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D21DetermineRegimenAndTreatmentOptions : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D23Prescribe : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D24Counsel : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D25OfferVoluntaryPartnerAndFamilyServices : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D26OfferSexualAndReproductiveHealthServices : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D28OfferOtherServices : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D29ScheduleFollowUp : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D2TakeVitalSigns : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D3CheckForSignsOfSeriousIllness : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D4ScreenForTb : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.D8CaptureOrUpdateClientHistory : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.E1CaptureOrUpdateMotherSHistory : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.E4TestMotherForHivUsingTestingAlgorithm : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.F12Prescribe : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.F16ImmediatelyStartInfantOnArt : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.F20RecordInfantSChildSFinalHivDiagnosis : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.F2TakeVitalSigns : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.F3CaptureOrUpdateInfantSChildSHistory : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.F6CheckWhetherInfantChildHadHivExposure : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.F8TestInfantChildForHivUsingTestingAlgorithm : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.H1IdentifyClientForFollowUp : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.H2AttemptToLocateClient : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.H3RecordOutreachAndResult : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.HFollowingUpAndContactingClients : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.I1EmergencyReferral : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/Questionnaire-HIV.I6ProvideInformationToReferralFacility : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/StructureDefinition-HIVARegistration : 0 / 0 / 66
 /github/workspace/fsh-generated/resources/StructureDefinition-HIVBHTSvisit : 0 / 0 / 250
 /github/workspace/fsh-generated/resources/StructureDefinition-HIVCPrEPvisit : 0 / 0 / 134
 /github/workspace/fsh-generated/resources/StructureDefinition-HIVConfiguration : 0 / 0 / 46
 /github/workspace/fsh-generated/resources/StructureDefinition-HIVDCareTreatment : 0 / 0 / 650
 /github/workspace/fsh-generated/resources/StructureDefinition-HIVDHIVTB : 0 / 0 / 82
 /github/workspace/fsh-generated/resources/StructureDefinition-HIVEPMTCT : 0 / 0 / 270
 /github/workspace/fsh-generated/resources/StructureDefinition-HIVGDiagnostics : 0 / 0 / 86
 /github/workspace/fsh-generated/resources/StructureDefinition-HIVHFollowup : 0 / 0 / 66
 /github/workspace/fsh-generated/resources/StructureDefinition-HIVIReferral : 0 / 0 / 30
 /github/workspace/fsh-generated/resources/StructureDefinition-HIVPrevention : 0 / 0 / 44
 /github/workspace/fsh-generated/resources/StructureDefinition-HIVSurveillance : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.A.DE13 : 1 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.A.DE18 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.A.DE25 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.A.DE30 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.A.DE43 : 1 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.A.DE46 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.A.DE5 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE1 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE102 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE106 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE111 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE115 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE120 : 1 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE121 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE132 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE136 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE142 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE149 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE15 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE158 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE165 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE172 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE179 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE18 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE191 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE201 : 1 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE204 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE207 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE22 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE226 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE237 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE250 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE256 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE261 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE269 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE276 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE284 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE293 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE301 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE306 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE312 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE317 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE325 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE33 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE37 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE44 : 1 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE5 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE50 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE61 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE66 : 1 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE68 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE74 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE8 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE81 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE88 : 1 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE94 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.B.DE98 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE1 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE101 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE107 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE11 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE112 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE122 : 1 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE125 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE131 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE138 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE143 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE149 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE157 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE164 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE17 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE24 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE31 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE36 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE41 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE46 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE55 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE63 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE75 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE80 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE91 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE95 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.C.DE99 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.Config.DE12 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.Config.DE19 : 1 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.D.DE1 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.D.DE1002 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.D.DE1010 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.D.DE1019 : 0 / 0 / 7
 /github/workspace/fsh-generated/resources/ValueSet-HIV.D.DE1028 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.D.DE1034 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.D.DE128 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.D.DE146 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.D.DE152 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.D.DE156 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.D.DE162 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.D.DE168 : 1 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.D.DE17 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.D.DE170 : 0 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.D.DE177 : 1 / 0 / 6
 /github/workspace/fsh-generated/resources/ValueSet-HIV.D.DE179 : 0 / 0 / 6
